'strain','stress'
0.00827,8.65099
0.00811,8.70315
0.00825,9.46344
0.00851,7.94704
0.00861,8.87842
0.00799,8.39904
0.00863,8.52892
0.00883,9.42797
0.00929,8.47024
0.0087,9.6121
0.00929,9.13481
0.0086,7.86827
0.00819,9.07743
0.00859,9.85545
0.0086,8.11735
0.00872,8.58996
0.0084,8.93606
0.00894,9.42588
0.00795,8.85025
0.00847,7.95017
0.00862,8.10901
0.00888,10.00359
0.00915,8.95015
0.00931,9.10481
0.00878,8.76549
0.00897,7.80202
0.00889,8.33044
0.00916,7.60797
0.00872,7.69848
0.00904,10.84447
0.00927,8.73549
0.00893,7.92435
0.00904,10.22764
0.00869,8.9624
0.00881,7.96373
0.00864,7.32212
0.00881,9.68122
0.00872,8.36774
0.00854,8.55031
0.00854,8.48015
0.00855,8.83147
0.00849,8.23942
0.0088,9.19219
0.00936,9.27043
0.00869,8.04771
0.00944,8.96866
0.00921,8.97649
0.00928,9.21383
0.00895,8.5923
0.00944,8.45016
0.00938,8.06858
0.00891,8.21829
0.00904,8.90033
0.00911,7.65544
0.00912,7.56963
0.00932,9.30773
0.0093,7.96373
0.00909,7.0879
0.00888,8.16065
0.0093,8.11318
0.00943,8.82208
0.00926,8.54483
0.00908,8.86616
0.00889,8.16639
0.00908,6.93376
0.00907,7.37402
0.00909,9.41049
0.00903,8.90033
0.00956,8.70185
0.0096,8.52371
0.00922,9.66922
0.00971,7.45513
0.00923,8.37582
0.00885,8.78374
0.00943,8.38417
0.00899,9.06021
0.00887,7.28404
0.00976,8.42147
0.00848,8.03676
0.00865,7.30334
0.0089,7.86931
0.0086,8.61969
0.00878,8.86199
0.00837,8.2089
0.00932,10.63086
0.0093,7.60406
0.00838,8.69741
0.00867,9.12411
0.00887,8.25272
0.0087,9.81737
0.00881,9.12203
0.00922,6.7997
0.00901,8.06362
0.00894,9.07873
0.00885,8.12726
0.0086,9.39197
0.00874,8.60847
0.00824,8.61395
0.00902,9.16897
0.0088,9.70939
0.00889,8.2342
0.00891,10.00672
0.00868,8.54405
0.00874,9.68018
0.00862,10.23155
0.00835,9.07456
0.00882,7.39097
0.00838,8.60978
0.00841,8.81087
0.00828,7.98799
0.00868,8.57144
0.00871,7.42071
0.0083,7.711
0.00871,8.84165
0.00845,7.81663
0.00831,8.41312
0.00823,9.31816
0.00845,7.10981
0.00821,8.26002
0.00766,8.96788
0.00783,9.30955
0.00892,7.9366
0.00875,6.9108
0.00884,9.41362
0.0082,8.90711
0.00912,8.94676
0.00896,8.7561
0.00879,9.06256
0.00897,9.23757
0.00932,8.19638
0.00958,8.48589
0.00964,8.39591
0.00887,8.34896
0.00893,8.88286
0.00942,9.20158
0.00897,8.73445
0.00912,7.50547
0.00925,9.79103
0.00903,8.86877
0.00909,8.99944
0.00893,7.99998
0.00868,10.18356
0.00927,9.66844
0.00848,9.38076
0.00899,7.64579
0.00928,9.50621
0.00831,8.21751
0.00874,9.17602
0.00907,8.2488
0.00854,8.55057
0.00855,7.90531
0.00858,8.53988
0.00892,9.29338
0.00844,10.01142
0.00896,7.70369
0.00893,9.03674
0.00898,9.46005
0.0085,9.06856
0.00932,8.4572
0.00936,7.5798
0.00892,9.37789
0.00899,9.4397
0.00893,9.23105
0.00908,8.04589
0.00972,8.04328
0.00911,9.57089
0.00948,9.30225
0.00894,8.21412
0.00946,10.21147
0.00884,7.8581
0.00895,8.99892
0.00888,8.38913
0.00913,9.01353
0.00904,8.12909
0.0092,6.62651
0.00953,9.32494
0.00899,8.96684
0.00896,7.61084
0.00904,8.31688
0.00893,9.20314
0.0091,9.12255
0.00943,7.7569
0.00934,9.08421
0.00915,9.94517
0.00909,8.75349
0.00906,9.16584
0.0093,8.92693
0.00901,7.25117
0.00944,9.05187
0.00911,9.12881
0.00929,7.04878
0.0089,8.58422
0.00948,7.14841
0.00977,8.28975
0.00921,9.03048
0.00932,8.22038
0.00882,8.92719
0.00907,9.20497
0.00917,9.41571
0.00899,9.38519
0.00936,8.4392
0.00901,8.88494
0.00988,8.52475
0.00921,8.0931
0.00928,9.46683
0.00936,8.45459
0.00984,8.17551
0.00957,6.35004
0.00942,9.09464
0.00951,9.24331
0.00925,7.42331
0.00938,7.9353
0.00933,8.52762
0.00981,12.06484
0.01017,11.42401
0.01012,11.80429
0.00951,10.44959
0.00952,10.69659
0.00941,11.97617
0.00936,11.38332
0.00941,10.85986
0.00975,9.99812
0.00956,10.20442
0.00977,11.12824
0.00949,12.82487
0.01034,11.62145
0.00981,9.5855
0.00987,11.60945
0.00946,11.78212
0.00914,11.56068
0.00921,10.19921
0.00979,12.41304
0.00977,12.44173
0.00956,10.53279
0.0098,11.49182
0.00961,11.73856
0.00986,10.12201
0.00998,12.75158
0.00945,12.28654
0.0094,10.73597
0.00942,10.90185
0.00976,10.3484
0.00912,12.04633
0.00953,12.10579
0.00948,10.09175
0.00944,10.56435
0.00933,11.79829
0.00971,11.3369
0.01015,10.47907
0.00991,10.14522
0.01014,11.74247
0.01006,10.98427
0.01041,11.98738
0.01039,11.56068
0.00977,11.17206
0.01016,11.82411
0.01011,11.78864
0.01043,12.05858
0.00944,11.81915
0.01014,10.25946
0.00976,12.2928
0.00942,12.18404
0.01,9.90892
0.00995,12.64595
0.00969,11.87888
0.01037,11.79724
0.01044,11.82411
0.00956,10.79674
0.01004,10.67129
0.00982,11.49104
0.01033,11.6225
0.01007,11.73726
0.00997,10.07349
0.01039,11.5732
0.01005,10.84786
0.00952,12.88199
0.01001,10.89716
0.00999,11.76386
